id,name
G0100010,Autauga County
G0100030,Baldwin County
G0100050,Barbour County
G0100070,Bibb County
G0100090,Blount County
G0100110,Bullock County
G0100130,Butler County
G0100150,Calhoun County
G0100170,Chambers County
G0100190,Cherokee County
G0100210,Chilton County
G0100230,Choctaw County
G0100250,Clarke County
G0100270,Clay County
G0100290,Cleburne County
G0100310,Coffee County
G0100330,Colbert County
G0100350,Conecuh County
G0100370,Coosa County
G0100390,Covington County
G0100410,Crenshaw County
G0100430,Cullman County
G0100450,Dale County
G0100470,Dallas County
G0100490,DeKalb County
G0100510,Elmore County
G0100530,Escambia County
G0100550,Etowah County
G0100570,Fayette County
G0100590,Franklin County
G0100610,Geneva County
G0100630,Greene County
G0100650,Hale County
G0100670,Henry County
G0100690,Houston County
G0100710,Jackson County
G0100730,Jefferson County
G0100750,Lamar County
G0100770,Lauderdale County
G0100790,Lawrence County
G0100810,Lee County
G0100830,Limestone County
G0100850,Lowndes County
G0100870,Macon County
G0100890,Madison County
G0100910,Marengo County
G0100930,Marion County
G0100950,Marshall County
G0100970,Mobile County
G0100990,Monroe County
G0101010,Montgomery County
G0101030,Morgan County
G0101050,Perry County
G0101070,Pickens County
G0101090,Pike County
G0101110,Randolph County
G0101130,Russell County
G0101150,St. Clair County
G0101170,Shelby County
G0101190,Sumter County
G0101210,Talladega County
G0101230,Tallapoosa County
G0101250,Tuscaloosa County
G0101270,Walker County
G0101290,Washington County
G0101310,Wilcox County
G0101330,Winston County
G0400010,Apache County
G0400030,Cochise County
G0400050,Coconino County
G0400070,Gila County
G0400090,Graham County
G0400110,Greenlee County
G0400120,La Paz County
G0400130,Maricopa County
G0400150,Mohave County
G0400170,Navajo County
G0400190,Pima County
G0400210,Pinal County
G0400230,Santa Cruz County
G0400250,Yavapai County
G0400270,Yuma County
G0500010,Arkansas County
G0500030,Ashley County
G0500050,Baxter County
G0500070,Benton County
G0500090,Boone County
G0500110,Bradley County
G0500130,Calhoun County
G0500150,Carroll County
G0500170,Chicot County
G0500190,Clark County
G0500210,Clay County
G0500230,Cleburne County
G0500250,Cleveland County
G0500270,Columbia County
G0500290,Conway County
G0500310,Craighead County
G0500330,Crawford County
G0500350,Crittenden County
G0500370,Cross County
G0500390,Dallas County
G0500410,Desha County
G0500430,Drew County
G0500450,Faulkner County
G0500470,Franklin County
G0500490,Fulton County
G0500510,Garland County
G0500530,Grant County
G0500550,Greene County
G0500570,Hempstead County
G0500590,Hot Spring County
G0500610,Howard County
G0500630,Independence County
G0500650,Izard County
G0500670,Jackson County
G0500690,Jefferson County
G0500710,Johnson County
G0500730,Lafayette County
G0500750,Lawrence County
G0500770,Lee County
G0500790,Lincoln County
G0500810,Little River County
G0500830,Logan County
G0500850,Lonoke County
G0500870,Madison County
G0500890,Marion County
G0500910,Miller County
G0500930,Mississippi County
G0500950,Monroe County
G0500970,Montgomery County
G0500990,Nevada County
G0501010,Newton County
G0501030,Ouachita County
G0501050,Perry County
G0501070,Phillips County
G0501090,Pike County
