from_id,to_id,from_fraction
G12001,12001,1.0
G36001,36001,1.0
G56001,56001,1.0
G20001,20001,1.0
G26007,26007,1.0
G41001,41001,1.0
G54003,54003,1.0
G42011,42011,1.0
G35001,35001,1.0
G48029,48029,1.0
G51023,51023,1.0
G08013,08013,1.0
G42019,42019,1.0
G29031,29031,1.0
G18017,18017,1.0
G31025,31025,1.0
G19033,19033,1.0
G18019,18019,1.0
G48091,48091,1.0
G45035,45035,1.0
G48135,48135,1.0
G48139,48139,1.0
G24021,24021,1.0
G08043,08043,1.0
G30031,30031,1.0
G39057,39057,1.0
G47065,47065,1.0
G48209,48209,1.0
G12053,12053,1.0
G48225,48225,1.0
G29095,29095,1.0
G01073,01073,1.0
G21111,21111,1.0
G29099,29099,1.0
G30043,30043,1.0
G49023,49023,1.0
G06029,06029,1.0
G53033,53033,1.0
G23013,23013,1.0
G47093,47093,1.0
G17099,17099,1.0
G18093,18093,1.0
G42073,42073,1.0
G42077,42077,1.0
G05081,05081,1.0
G32019,32019,1.0
G01091,01091,1.0
G17127,17127,1.0
G40097,40097,1.0
G48309,48309,1.0
G12086,12086,1.0
G01097,01097,1.0
G49029,49029,1.0
G20133,20133,1.0
G48353,48353,1.0
G42095,42095,1.0
G45075,45075,1.0
G39125,39125,1.0
G46103,46103,1.0
G29163,29163,1.0
G04019,04019,1.0
G40123,40123,1.0
G18133,18133,1.0
G29173,29173,1.0
G06065,06065,1.0
G40131,40131,1.0
G01115,01115,1.0
G06071,06071,1.0
G06081,06081,1.0
G06087,06087,1.0
G19163,19163,1.0
G06089,06089,1.0
G01117,01117,1.0
G12121,12121,1.0
G36113,36113,1.0
G24043,24043,1.0
G26163,26163,1.0
G04025,04025,1.0
G42133,42133,1.0
G45001,45001,1.0
G22001,22001,1.0
G51001,51001,1.0
G16001,16001,1.0
G19001,19001,1.0
G21001,21001,1.0
G40001,40001,1.0
G08001,08001,1.0
G19003,19003,1.0
G17001,17001,1.0
G18001,18001,1.0
G28001,28001,1.0
G31001,31001,1.0
G42001,42001,1.0
G53001,53001,1.0
G50001,50001,1.0
G45003,45003,1.0
G37001,37001,1.0
G06001,06001,1.0
G08003,08003,1.0
G19005,19005,1.0
G26005,26005,1.0
G24001,24001,1.0
G36003,36003,1.0
G42003,42003,1.0
G18003,18003,1.0
