geography,subsector
01001,construction
01003,mining
01005,construction
01007,construction
01009,construction
01009,mining
01011,construction
01011,mining
01013,construction
01013,mining
01017,mining
01019,construction
01021,construction
01023,construction
01023,mining
01025,mining
01027,construction
01029,construction
01031,construction
01031,mining
01035,construction
01035,mining
01037,construction
01037,mining
01039,construction
01039,mining
01041,construction
01041,mining
01043,mining
01045,mining
01047,construction
01047,mining
01049,construction
01049,mining
01051,construction
01051,mining
01053,mining
01057,construction
01057,mining
01061,construction
01061,mining
01063,construction
01063,mining
01065,mining
01067,construction
01075,construction
01075,mining
01077,mining
01079,construction
01079,mining
01081,mining
01083,mining
01085,construction
01085,mining
01087,construction
01087,mining
01089,mining
01091,construction
01091,mining
01093,construction
01095,mining
01097,mining
01099,construction
01099,mining
01101,mining
01103,mining
01105,construction
01105,mining
01107,construction
01107,mining
01109,mining
01113,mining
01119,construction
01119,mining
01123,construction
01127,construction
01129,construction
01129,mining
01131,construction
01131,mining
01133,construction
01133,mining
02013,construction
02013,mining
02016,construction
02016,mining
02020,mining
02050,construction
02050,mining
02060,construction
02060,mining
02063,construction
02063,mining
02066,construction
02066,mining
02068,construction
02068,mining
02070,construction
02070,mining
02090,mining
02100,construction
02100,mining
02105,construction
02105,mining
02110,construction
02110,mining
02122,construction
02122,mining
02130,construction
02130,mining
02150,construction
02150,mining
02158,construction
02158,mining
02164,construction
02164,mining
02170,mining
02180,construction
02180,mining
02185,construction
02185,mining
02188,construction
02188,mining
02195,construction
02195,mining
02198,construction
02198,mining
02220,construction
02220,mining
02230,construction
02230,mining
02240,construction
02240,mining
02261,mining
02261,water_treatment
02275,construction
02275,mining
02282,construction
02282,mining
02290,construction
02290,mining
04001,mining
04003,mining
04005,mining
04007,mining
04009,construction
04009,mining
04011,construction
04011,mining
04012,construction
04012,mining
04013,mining
04017,mining
04019,mining
04021,mining
04023,construction
04023,mining
04027,mining
05001,construction
05001,mining
05003,mining
05005,mining
05007,mining
05009,construction
05009,mining
05011,construction
05011,mining
05013,construction
05013,mining
05015,construction
05015,mining
05017,construction
05017,mining
05019,construction
05019,mining
05021,construction
05021,mining
05023,construction
05023,mining
05025,construction
05025,mining
05027,construction
05027,mining
05029,construction
05029,mining
05031,mining
05033,mining
05035,construction
05035,mining
05037,construction
05037,mining
05039,construction
05039,mining
05041,construction
05041,mining
05043,construction
05043,mining
05045,mining
05047,construction
05047,mining
05049,construction
05049,mining
05051,mining
05053,mining
05055,mining
05057,construction
05057,mining
05059,construction
05059,mining
05061,construction
05061,mining
05063,mining
05065,construction
05065,mining
05067,mining
05069,mining
05071,construction
05071,mining
05073,construction
05073,mining
05075,construction
05075,mining
05077,construction
05077,mining
05079,construction
05079,mining
05081,construction
05081,mining
05083,construction
05083,mining
05085,construction
05085,mining
05087,construction
05087,mining
05089,construction
05089,mining
05091,construction
05091,mining
05093,construction
05093,mining
05095,construction
05095,mining
05097,construction
05097,mining
05099,construction
05099,mining
05101,construction
05101,mining
05103,construction
05103,mining
05105,construction
05105,mining
05107,construction
05107,mining
05109,construction
05109,mining
05111,mining
05113,construction
05113,mining
05115,mining
05117,construction
05117,mining
05119,mining
05121,construction
05121,mining
05123,construction
05123,mining
05125,mining
05127,construction
05127,mining
05129,construction
05129,mining
05131,mining
05133,construction
05133,mining
05135,mining
05137,construction
05137,mining
05139,construction
05139,mining
05141,construction
05141,mining
05143,mining
05145,construction
05145,mining
05147,construction
05147,mining
05149,construction
05149,mining
06001,mining
06003,construction
06003,mining
06005,mining
06007,mining
06009,mining
06011,construction
06011,mining
06013,mining
06015,construction
06015,mining
06017,mining
06019,mining
06021,construction
06021,mining
06023,mining
06025,mining
06027,mining
06029,mining
06031,mining
06033,mining
06035,mining
06037,mining
06039,mining
06041,mining
06043,construction
06043,mining
06045,mining
06047,mining
06049,mining
06051,mining
06053,mining
06055,mining
06057,mining
06059,mining
06061,mining
06063,mining
06065,mining
06067,mining
06069,mining
06071,mining
06073,mining
06075,mining
06077,mining
06079,mining
06081,mining
06083,mining
06085,mining
06087,mining
06089,mining
06091,construction
06091,mining
06093,construction
06093,mining
06095,mining
06097,mining
06099,mining
06101,mining
06103,mining
06105,construction
06105,mining
06107,mining
06109,construction
06109,mining
06111,mining
06113,mining
06115,construction
06115,mining
08001,mining
08003,construction
08005,mining
08007,construction
08007,mining
08009,construction
08009,mining
08011,construction
08011,mining
08013,mining
08014,mining
08015,mining
08017,construction
08017,mining
08019,construction
08019,mining
08021,construction
08021,mining
08023,construction
08023,mining
08025,construction
08025,mining
08027,construction
08027,mining
08029,construction
08031,mining
08033,construction
08033,mining
08037,mining
08039,construction
08039,mining
08041,mining
08043,construction
08047,mining
08049,mining
08051,construction
08053,construction
08053,mining
08055,construction
08055,mining
08057,construction
08057,mining
08059,mining
08061,construction
08061,mining
08063,construction
08063,mining
08065,construction
08065,mining
08069,mining
08071,construction
08073,construction
08073,mining
08075,construction
08075,mining
08079,construction
08079,mining
08081,construction
08081,mining
08083,construction
08083,mining
08085,mining
08087,construction
08087,mining
08089,construction
08089,mining
08091,construction
08091,mining
08093,construction
08093,mining
08095,construction
08095,mining
08097,construction
08099,construction
08099,mining
08101,mining
08103,construction
08105,construction
08105,mining
08107,construction
08109,mining
08111,construction
08111,mining
08113,construction
08113,mining
08115,construction
08115,mining
08117,mining
08119,mining
08121,construction
08121,mining
08123,mining
08125,construction
08125,mining
09003,mining
09003,water_treatment
09011,mining
09013,mining
09015,construction
10001,mining
11001,mining
12001,mining
12003,mining
12005,mining
12007,mining
12009,mining
12011,mining
12013,mining
12015,mining
12017,mining
12019,mining
12021,mining
12023,mining
12027,mining
12029,construction
12029,mining
12031,mining
12033,mining
12035,mining
12037,mining
12039,mining
12041,construction
12041,mining
12043,construction
12043,mining
12045,mining
12047,construction
12047,mining
12049,mining
12051,mining
