from_id,to_id
01001,usa
01003,usa
01005,usa
01007,usa
01009,usa
01011,usa
01013,usa
01015,usa
01017,usa
01019,usa
01021,usa
01023,usa
01025,usa
01027,usa
01029,usa
01031,usa
01033,usa
01035,usa
01037,usa
01039,usa
01041,usa
01043,usa
01045,usa
01047,usa
01049,usa
01051,usa
01053,usa
01055,usa
01057,usa
01059,usa
01061,usa
01063,usa
01065,usa
01067,usa
01069,usa
01071,usa
01073,usa
01075,usa
01077,usa
01079,usa
01081,usa
01083,usa
01085,usa
01087,usa
01089,usa
01091,usa
01093,usa
01095,usa
01097,usa
01099,usa
01101,usa
01103,usa
01105,usa
01107,usa
01109,usa
01111,usa
01113,usa
01115,usa
01117,usa
01119,usa
01121,usa
01123,usa
01125,usa
01127,usa
01129,usa
01131,usa
01133,usa
02013,usa
02016,usa
02020,usa
02050,usa
02060,usa
02063,usa
02066,usa
02068,usa
02070,usa
02090,usa
02100,usa
02105,usa
02110,usa
02122,usa
02130,usa
02150,usa
02158,usa
02164,usa
02170,usa
02180,usa
02185,usa
02188,usa
02195,usa
02198,usa
02220,usa
02230,usa
02240,usa
02261,usa
02275,usa
02282,usa
02290,usa
04001,usa
04003,usa
04005,usa
04007,usa
04009,usa
04011,usa
04012,usa
04013,usa
04015,usa
04017,usa
04019,usa
04021,usa
04023,usa
04025,usa
04027,usa
05001,usa
05003,usa
05005,usa
05007,usa
05009,usa
05011,usa
05013,usa
05015,usa
05017,usa
05019,usa
05021,usa
05023,usa
05025,usa
05027,usa
05029,usa
05031,usa
05033,usa
05035,usa
05037,usa
05039,usa
05041,usa
05043,usa
05045,usa
05047,usa
05049,usa
05051,usa
05053,usa
05055,usa
05057,usa
05059,usa
05061,usa
05063,usa
05065,usa
05067,usa
05069,usa
05071,usa
05073,usa
05075,usa
05077,usa
05079,usa
05081,usa
05083,usa
05085,usa
05087,usa
05089,usa
05091,usa
05093,usa
05095,usa
05097,usa
05099,usa
05101,usa
05103,usa
05105,usa
05107,usa
05109,usa
05111,usa
05113,usa
05115,usa
05117,usa
05119,usa
05121,usa
05123,usa
05125,usa
05127,usa
05129,usa
05131,usa
05133,usa
05135,usa
05137,usa
05139,usa
05141,usa
05143,usa
05145,usa
05147,usa
05149,usa
06001,usa
06003,usa
06005,usa
06007,usa
06009,usa
06011,usa
06013,usa
06015,usa
06017,usa
06019,usa
06021,usa
06023,usa
06025,usa
06027,usa
06029,usa
06031,usa
06033,usa
06035,usa
06037,usa
06039,usa
06041,usa
06043,usa
06045,usa
06047,usa
06049,usa
06051,usa
06053,usa
06055,usa
06057,usa
06059,usa
06061,usa
06063,usa
06065,usa
06067,usa
06069,usa
06071,usa
06073,usa
06075,usa
06077,usa
06079,usa
06081,usa
06083,usa
06085,usa
06087,usa
06089,usa
06091,usa
06093,usa
06095,usa
06097,usa
06099,usa
06101,usa
06103,usa
06105,usa
06107,usa
06109,usa
06111,usa
06113,usa
06115,usa
08001,usa
08003,usa
08005,usa
08007,usa
08009,usa
08011,usa
08013,usa
08014,usa
08015,usa
08017,usa
08019,usa
08021,usa
08023,usa
08025,usa
08027,usa
08029,usa
08031,usa
08033,usa
08035,usa
08037,usa
08039,usa
08041,usa
08043,usa
08045,usa
08047,usa
08049,usa
08051,usa
08053,usa
08055,usa
08057,usa
08059,usa
08061,usa
08063,usa
08065,usa
08067,usa
08069,usa
08071,usa
08073,usa
08075,usa
08077,usa
08079,usa
08081,usa
08083,usa
08085,usa
08087,usa
08089,usa
08091,usa
08093,usa
08095,usa
08097,usa
08099,usa
08101,usa
08103,usa
08105,usa
08107,usa
08109,usa
08111,usa
08113,usa
08115,usa
08117,usa
08119,usa
08121,usa
08123,usa
08125,usa
09001,usa
09003,usa
09005,usa
09007,usa
09009,usa
09011,usa
09013,usa
09015,usa
10001,usa
10003,usa
10005,usa
11001,usa
12001,usa
12003,usa
12005,usa
12007,usa
12009,usa
12011,usa
12013,usa
12015,usa
12017,usa
12019,usa
12021,usa
12023,usa
12027,usa
12029,usa
12031,usa
12033,usa
12035,usa
12037,usa
12039,usa
12041,usa
12043,usa
12045,usa
12047,usa
12049,usa
12051,usa
12053,usa
12055,usa
12057,usa
12059,usa
12061,usa
12063,usa
12065,usa
12067,usa
12069,usa
12071,usa
12073,usa
12075,usa
12077,usa
12079,usa
12081,usa
12083,usa
12085,usa
12086,usa
12087,usa
12089,usa
12091,usa
12093,usa
12095,usa
12097,usa
12099,usa
12101,usa
12103,usa
12105,usa
12107,usa
12109,usa
12111,usa
12113,usa
12115,usa
12117,usa
12119,usa
12121,usa
12123,usa
12125,usa
12127,usa
12129,usa
12131,usa
12133,usa
13001,usa
13003,usa
13005,usa
13007,usa
13009,usa
13011,usa
13013,usa
13015,usa
13017,usa
13019,usa
13021,usa
13023,usa
13025,usa
13027,usa
13029,usa
13031,usa
13033,usa
13035,usa
13037,usa
13039,usa
13043,usa
13045,usa
13047,usa
13049,usa
13051,usa
13053,usa
13055,usa
13057,usa
13059,usa
13061,usa
13063,usa
13065,usa
13067,usa
13069,usa
13071,usa
13073,usa
13075,usa
13077,usa
13079,usa
13081,usa
13083,usa
13085,usa
13087,usa
13089,usa
13091,usa
13093,usa
13095,usa
13097,usa
13099,usa
13101,usa
13103,usa
13105,usa
13107,usa
13109,usa
13111,usa
13113,usa
13115,usa
13117,usa
13119,usa
13121,usa
13123,usa
13125,usa
13127,usa
13129,usa
13131,usa
13133,usa
13135,usa
13137,usa
13139,usa
13141,usa
13143,usa
13145,usa
13147,usa
13149,usa
13151,usa
13153,usa
13155,usa
13157,usa
13159,usa
13161,usa
13163,usa
13165,usa
13167,usa
13169,usa
13171,usa
13173,usa
13175,usa
13177,usa
13179,usa
13181,usa
13183,usa
13185,usa
13187,usa
13189,usa
13191,usa
13193,usa
13195,usa
13197,usa
13199,usa
13201,usa
13205,usa
13207,usa
13209,usa
13211,usa
13213,usa
13215,usa
13217,usa
13219,usa
13221,usa
13223,usa
13225,usa
13227,usa
13229,usa
13231,usa
13233,usa
13235,usa
13237,usa
13239,usa
13241,usa
13243,usa
13245,usa
13247,usa
13249,usa
13251,usa
13253,usa
13255,usa
13257,usa
13259,usa
13261,usa
13263,usa
13265,usa
13267,usa
13269,usa
13271,usa
13273,usa
13275,usa
13277,usa
13279,usa
13281,usa
13283,usa
13285,usa
13287,usa
13289,usa
13291,usa
13293,usa
13295,usa
13297,usa
13299,usa
13301,usa
13303,usa
13305,usa
13307,usa
13309,usa
13311,usa
13313,usa
13315,usa
13317,usa
13319,usa
13321,usa
15001,usa
15003,usa
15005,usa
15007,usa
15009,usa
