from_id,to_id,from_fraction
01001,01001,1.0
01003,01003,1.0
01005,01005,1.0
01007,01007,1.0
01009,01009,1.0
01011,01011,1.0
01013,01013,1.0
01015,01015,1.0
01017,01017,1.0
01019,01019,1.0
01021,01021,1.0
01023,01023,1.0
01025,01025,1.0
01027,01027,1.0
01029,01029,1.0
01031,01031,1.0
01033,01033,1.0
01035,01035,1.0
01037,01037,1.0
01039,01039,1.0
01041,01041,1.0
01043,01043,1.0
01045,01045,1.0
01047,01047,1.0
01049,01049,1.0
01051,01051,1.0
01053,01053,1.0
01055,01055,1.0
01057,01057,1.0
01059,01059,1.0
01061,01061,1.0
01063,01063,1.0
01065,01065,1.0
01067,01067,1.0
01069,01069,1.0
01071,01071,1.0
01073,01073,1.0
01075,01075,1.0
01077,01077,1.0
01079,01079,1.0
01081,01081,1.0
01083,01083,1.0
01085,01085,1.0
01087,01087,1.0
01089,01089,1.0
01091,01091,1.0
01093,01093,1.0
01095,01095,1.0
01097,01097,1.0
01099,01099,1.0
01101,01101,1.0
01103,01103,1.0
01105,01105,1.0
01107,01107,1.0
01109,01109,1.0
01111,01111,1.0
01113,01113,1.0
01115,01115,1.0
01117,01117,1.0
01119,01119,1.0
01121,01121,1.0
01123,01123,1.0
01125,01125,1.0
01127,01127,1.0
01129,01129,1.0
01131,01131,1.0
01133,01133,1.0
02013,,1.0
02016,,1.0
02020,,1.0
02050,,1.0
02060,,1.0
02068,,1.0
02070,,1.0
02090,,1.0
02100,,1.0
02105,,1.0
02110,,1.0
02122,,1.0
02130,,1.0
02150,,1.0
02158,,1.0
02164,,1.0
02170,,1.0
02180,,1.0
02185,,1.0
02188,,1.0
02195,,1.0
02198,,1.0
02220,,1.0
02230,,1.0
02240,,1.0
02275,,1.0
02282,,1.0
02290,,1.0
04001,04001,1.0
04003,04003,1.0
04005,04005,1.0
04007,04007,1.0
04009,04009,1.0
04011,04011,1.0
04012,04012,1.0
04013,04013,1.0
04015,04015,1.0
04017,04017,1.0
04019,04019,1.0
04021,04021,1.0
04023,04023,1.0
04025,04025,1.0
04027,04027,1.0
05001,05001,1.0
05003,05003,1.0
05005,05005,1.0
05007,05007,1.0
05009,05009,1.0
05011,05011,1.0
05013,05013,1.0
05015,05015,1.0
05017,05017,1.0
05019,05019,1.0
05021,05021,1.0
05023,05023,1.0
05025,05025,1.0
05027,05027,1.0
05029,05029,1.0
05031,05031,1.0
05033,05033,1.0
05035,05035,1.0
05037,05037,1.0
05039,05039,1.0
05041,05041,1.0
05043,05043,1.0
05045,05045,1.0
05047,05047,1.0
05049,05049,1.0
05051,05051,1.0
05053,05053,1.0
05055,05055,1.0
05057,05057,1.0
05059,05059,1.0
05061,05061,1.0
05063,05063,1.0
05065,05065,1.0
05067,05067,1.0
05069,05069,1.0
05071,05071,1.0
05073,05073,1.0
05075,05075,1.0
05077,05077,1.0
05079,05079,1.0
05081,05081,1.0
05083,05083,1.0
05085,05085,1.0
05087,05087,1.0
05089,05089,1.0
05091,05091,1.0
05093,05093,1.0
05095,05095,1.0
05097,05097,1.0
05099,05099,1.0
05101,05101,1.0
05103,05103,1.0
05105,05105,1.0
05107,05107,1.0
05109,05109,1.0
05111,05111,1.0
05113,05113,1.0
05115,05115,1.0
05117,05117,1.0
05119,05119,1.0
05121,05121,1.0
05123,05123,1.0
05125,05125,1.0
05127,05127,1.0
05129,05129,1.0
05131,05131,1.0
05133,05133,1.0
05135,05135,1.0
05137,05137,1.0
05139,05139,1.0
05141,05141,1.0
05143,05143,1.0
05145,05145,1.0
05147,05147,1.0
05149,05149,1.0
06001,06001,1.0
06003,06003,1.0
06005,06005,1.0
06007,06007,1.0
06009,06009,1.0
06011,06011,1.0
06013,06013,1.0
06015,06015,1.0
06017,06017,1.0
06019,06019,1.0
06021,06021,1.0
06023,06023,1.0
06025,06025,1.0
06027,06027,1.0
06029,06029,1.0
06031,06031,1.0
06033,06033,1.0
06035,06035,1.0
06037,06037,1.0
06039,06039,1.0
06041,06041,1.0
06043,06043,1.0
06045,06045,1.0
06047,06047,1.0
06049,06049,1.0
06051,06051,1.0
06053,06053,1.0
06055,06055,1.0
06057,06057,1.0
06059,06059,1.0
06061,06061,1.0
06063,06063,1.0
06065,06065,1.0
06067,06067,1.0
06069,06069,1.0
06071,06071,1.0
06073,06073,1.0
06075,06075,1.0
06077,06077,1.0
06079,06079,1.0
06081,06081,1.0
06083,06083,1.0
06085,06085,1.0
06087,06087,1.0
06089,06089,1.0
06091,06091,1.0
06093,06093,1.0
06095,06095,1.0
06097,06097,1.0
06099,06099,1.0
06101,06101,1.0
06103,06103,1.0
06105,06105,1.0
06107,06107,1.0
06109,06109,1.0
06111,06111,1.0
06113,06113,1.0
06115,06115,1.0
08001,08001,1.0
08003,08003,1.0
08005,08005,1.0
08007,08007,1.0
08009,08009,1.0
08011,08011,1.0
08013,08013,1.0
08014,08014,1.0
08015,08015,1.0
08017,08017,1.0
08019,08019,1.0
08021,08021,1.0
08023,08023,1.0
08025,08025,1.0
08027,08027,1.0
08029,08029,1.0
08031,08031,1.0
08033,08033,1.0
08035,08035,1.0
08037,08037,1.0
08039,08039,1.0
08041,08041,1.0
08043,08043,1.0
08045,08045,1.0
08047,08047,1.0
08049,08049,1.0
08051,08051,1.0
08053,08053,1.0
08055,08055,1.0
08057,08057,1.0
08059,08059,1.0
08061,08061,1.0
08063,08063,1.0
08065,08065,1.0
08067,08067,1.0
08069,08069,1.0
08071,08071,1.0
08073,08073,1.0
08075,08075,1.0
08077,08077,1.0
08079,08079,1.0
08081,08081,1.0
08083,08083,1.0
08085,08085,1.0
08087,08087,1.0
08089,08089,1.0
08091,08091,1.0
08093,08093,1.0
08095,08095,1.0
08097,08097,1.0
08099,08099,1.0
08101,08101,1.0
08103,08103,1.0
08105,08105,1.0
08107,08107,1.0
08109,08109,1.0
08111,08111,1.0
08113,08113,1.0
08115,08115,1.0
08117,08117,1.0
08119,08119,1.0
08121,08121,1.0
08123,08123,1.0
08125,08125,1.0
09110,09003,0.843210235771366
09110,09013,0.15678976422863397
09120,09001,1.0
09130,09007,0.94283538601656
09130,09011,0.057164613983439964
09140,09001,0.09225074095506096
09140,09003,0.13510276437188454
09140,09005,0.12022932155246609
09140,09009,0.6524171731205884
09150,09011,0.02694600402023983
09150,09013,0.008244957371594926
09150,09015,0.9648090386081652
09160,09003,0.10261519669163638
