id,name,fuel_id,unit
electricity_ev_ldv_enroute_dcfc,Light-Duty EV En-route DCFC Charging,electricity,kWh
electricity_ev_ldv_home_l1,Light-Duty EV Home Level 1 Charging,electricity,kWh
electricity_ev_ldv_home_l2,Light-Duty EV Home Level 2 Charging,electricity,kWh
electricity_ev_ldv_public_dcfc,Light-Duty EV Public DCFC Charging,electricity,kWh
electricity_ev_ldv_public_l2,Light-Duty EV Public Level 2 Charging,electricity,kWh
electricity_ev_ldv_work_l2,Light-Duty EV Workplace Level 2 Charging,electricity,kWh
electricity_ev_mhdv_depot_dcfc,Medium- and Heavy-Duty EV Depot DCFC Charging,electricity,kWh
electricity_ev_mhdv_depot_l2,Medium- and Heavy-Duty EV Depot Level 2 Charging,electricity,kWh
electricity_ev_mhdv_enroute_dcfc,Medium- and Heavy-Duty EV En-route DCFC Charging,electricity,kWh
electricity_ev_mhdv_opportunity_dcfc,Medium- and Heavy-Duty EV Opportunity DCFC Charging,electricity,kWh
electricity_ev_mhdv_opportunity_l2,Medium- and Heavy-Duty EV Opportunity Level 2 Charging,electricity,kWh
