from_id,to_id
electricity_computers_and_electronics,agg_enduses
electricity_cooking,agg_enduses
electricity_heating,agg_enduses
electricity_cooling,agg_enduses
electricity_ventilation,agg_enduses
electricity_lighting,agg_enduses
electricity_other,agg_enduses
electricity_refrigeration,agg_enduses
electricity_water_heating,agg_enduses
electricity_ev_ldv_enroute_dcfc,agg_enduses
electricity_ev_ldv_home_l1,agg_enduses
electricity_ev_ldv_home_l2,agg_enduses
electricity_ev_ldv_public_dcfc,agg_enduses
electricity_ev_ldv_public_l2,agg_enduses
electricity_ev_ldv_work_l2,agg_enduses
electricity_ev_mhdv_depot_dcfc,agg_enduses
electricity_ev_mhdv_depot_l2,agg_enduses
electricity_ev_mhdv_enroute_dcfc,agg_enduses
electricity_ev_mhdv_opportunity_dcfc,agg_enduses
electricity_ev_mhdv_opportunity_l2,agg_enduses
electricity_conventional_boiler,agg_enduses
electricity_process_heating,agg_enduses
electricity_process_cooling_and_refrigeration,agg_enduses
electricity_machine_drive,agg_enduses
electricity_electrochemical_processes,agg_enduses
electricity_other_process,agg_enduses
electricity_facility_hvac,agg_enduses
electricity_facility_lighting,agg_enduses
electricity_other_facility_support,agg_enduses
electricity_other_nonprocess,agg_enduses
electricity_chp,agg_enduses
electricity_thermal_dg,agg_enduses
electricity_dpv,agg_enduses
electricity_unspecified,agg_enduses
