from_id,to_id,from_fraction
2023,2023,1
2024,2024,1
2025,2025,1
2025,2026,0.8
2030,2026,0.2
2025,2027,0.6
2030,2027,0.4
2025,2028,0.4
2030,2028,0.6
2025,2029,0.2
2030,2029,0.8
2030,2030,1
2030,2031,0.8
2035,2031,0.2
2030,2032,0.6
2035,2032,0.4
2035,2033,0.4
2035,2033,0.6
2030,2034,0.2
2030,2034,0.8
2035,2035,1
2035,2036,0.8
2040,2036,0.2
2035,2037,0.6
2040,2037,0.4
2035,2038,0.4
2040,2038,0.6
2040,2039,0.2
2040,2039,0.8
2040,2040,1
2040,2041,0.8
2045,2041,0.2
2040,2042,0.6
2045,2042,0.4
2040,2043,0.4
2045,2043,0.6
2040,2044,0.2
2045,2044,0.8
2045,2045,1
2045,2046,0.8
2050,2046,0.2
2045,2047,0.6
2050,2047,0.4
2045,2048,0.4
2050,2048,0.6
2045,2049,0.2
2050,2049,0.8
2050,2050,1
