id,name,state,time_zone
01001,Autauga,AL,America/Chicago
01003,Baldwin,AL,America/Chicago
01005,Barbour,AL,America/Chicago
01007,Bibb,AL,America/Chicago
01009,Blount,AL,America/Chicago
01011,Bullock,AL,America/Chicago
01013,Butler,AL,America/Chicago
01015,Calhoun,AL,America/Chicago
01017,Chambers,AL,America/Chicago
01019,Cherokee,AL,America/Chicago
01021,Chilton,AL,America/Chicago
01023,Choctaw,AL,America/Chicago
01025,Clarke,AL,America/Chicago
01027,Clay,AL,America/Chicago
01029,Cleburne,AL,America/Chicago
01031,Coffee,AL,America/Chicago
01033,Colbert,AL,America/Chicago
01035,Conecuh,AL,America/Chicago
01037,Coosa,AL,America/Chicago
01039,Covington,AL,America/Chicago
01041,Crenshaw,AL,America/Chicago
01043,Cullman,AL,America/Chicago
01045,Dale,AL,America/Chicago
01047,Dallas,AL,America/Chicago
01049,DeKalb,AL,America/Chicago
01051,Elmore,AL,America/Chicago
01053,Escambia,AL,America/Chicago
01055,Etowah,AL,America/Chicago
01057,Fayette,AL,America/Chicago
01059,Franklin,AL,America/Chicago
01061,Geneva,AL,America/Chicago
01063,Greene,AL,America/Chicago
01065,Hale,AL,America/Chicago
01067,Henry,AL,America/Chicago
01069,Houston,AL,America/Chicago
01071,Jackson,AL,America/Chicago
01073,Jefferson,AL,America/Chicago
01075,Lamar,AL,America/Chicago
01077,Lauderdale,AL,America/Chicago
01079,Lawrence,AL,America/Chicago
01081,Lee,AL,America/Chicago
01083,Limestone,AL,America/Chicago
01085,Lowndes,AL,America/Chicago
01087,Macon,AL,America/Chicago
01089,Madison,AL,America/Chicago
01091,Marengo,AL,America/Chicago
01093,Marion,AL,America/Chicago
01095,Marshall,AL,America/Chicago
01097,Mobile,AL,America/Chicago
01099,Monroe,AL,America/Chicago
01101,Montgomery,AL,America/Chicago
01103,Morgan,AL,America/Chicago
01105,Perry,AL,America/Chicago
01107,Pickens,AL,America/Chicago
01109,Pike,AL,America/Chicago
01111,Randolph,AL,America/Chicago
01113,Russell,AL,America/Chicago
01115,St. Clair,AL,America/Chicago
01117,Shelby,AL,America/Chicago
01119,Sumter,AL,America/Chicago
01121,Talladega,AL,America/Chicago
01123,Tallapoosa,AL,America/Chicago
01125,Tuscaloosa,AL,America/Chicago
01127,Walker,AL,America/Chicago
01129,Washington,AL,America/Chicago
01131,Wilcox,AL,America/Chicago
01133,Winston,AL,America/Chicago
04001,Apache,AZ,America/Phoenix
04003,Cochise,AZ,America/Phoenix
04005,Coconino,AZ,America/Phoenix
04007,Gila,AZ,America/Phoenix
04009,Graham,AZ,America/Phoenix
04011,Greenlee,AZ,America/Phoenix
04012,La Paz,AZ,America/Phoenix
04013,Maricopa,AZ,America/Phoenix
04015,Mohave,AZ,America/Phoenix
04017,Navajo,AZ,America/Denver
04019,Pima,AZ,America/Phoenix
04021,Pinal,AZ,America/Phoenix
04023,Santa Cruz,AZ,America/Phoenix
04025,Yavapai,AZ,America/Phoenix
04027,Yuma,AZ,America/Phoenix
05001,Arkansas,AR,America/Chicago
05003,Ashley,AR,America/Chicago
05005,Baxter,AR,America/Chicago
05007,Benton,AR,America/Chicago
05009,Boone,AR,America/Chicago
05011,Bradley,AR,America/Chicago
05013,Calhoun,AR,America/Chicago
05015,Carroll,AR,America/Chicago
05017,Chicot,AR,America/Chicago
05019,Clark,AR,America/Chicago
05021,Clay,AR,America/Chicago
05023,Cleburne,AR,America/Chicago
05025,Cleveland,AR,America/Chicago
05027,Columbia,AR,America/Chicago
05029,Conway,AR,America/Chicago
05031,Craighead,AR,America/Chicago
05033,Crawford,AR,America/Chicago
05035,Crittenden,AR,America/Chicago
05037,Cross,AR,America/Chicago
05039,Dallas,AR,America/Chicago
05041,Desha,AR,America/Chicago
05043,Drew,AR,America/Chicago
05045,Faulkner,AR,America/Chicago
05047,Franklin,AR,America/Chicago
05049,Fulton,AR,America/Chicago
05051,Garland,AR,America/Chicago
05053,Grant,AR,America/Chicago
05055,Greene,AR,America/Chicago
05057,Hempstead,AR,America/Chicago
05059,Hot Spring,AR,America/Chicago
05061,Howard,AR,America/Chicago
05063,Independence,AR,America/Chicago
05065,Izard,AR,America/Chicago
05067,Jackson,AR,America/Chicago
05069,Jefferson,AR,America/Chicago
05071,Johnson,AR,America/Chicago
05073,Lafayette,AR,America/Chicago
05075,Lawrence,AR,America/Chicago
05077,Lee,AR,America/Chicago
05079,Lincoln,AR,America/Chicago
05081,Little River,AR,America/Chicago
05083,Logan,AR,America/Chicago
05085,Lonoke,AR,America/Chicago
05087,Madison,AR,America/Chicago
05089,Marion,AR,America/Chicago
05091,Miller,AR,America/Chicago
05093,Mississippi,AR,America/Chicago
05095,Monroe,AR,America/Chicago
05097,Montgomery,AR,America/Chicago
05099,Nevada,AR,America/Chicago
05101,Newton,AR,America/Chicago
05103,Ouachita,AR,America/Chicago
05105,Perry,AR,America/Chicago
05107,Phillips,AR,America/Chicago
05109,Pike,AR,America/Chicago
05111,Poinsett,AR,America/Chicago
05113,Polk,AR,America/Chicago
05115,Pope,AR,America/Chicago
05117,Prairie,AR,America/Chicago
05119,Pulaski,AR,America/Chicago
05121,Randolph,AR,America/Chicago
05123,St. Francis,AR,America/Chicago
05125,Saline,AR,America/Chicago
05127,Scott,AR,America/Chicago
05129,Searcy,AR,America/Chicago
05131,Sebastian,AR,America/Chicago
05133,Sevier,AR,America/Chicago
05135,Sharp,AR,America/Chicago
05137,Stone,AR,America/Chicago
05139,Union,AR,America/Chicago
05141,Van Buren,AR,America/Chicago
05143,Washington,AR,America/Chicago
05145,White,AR,America/Chicago
05147,Woodruff,AR,America/Chicago
05149,Yell,AR,America/Chicago
06001,Alameda,CA,America/Los_Angeles
06003,Alpine,CA,America/Los_Angeles
06005,Amador,CA,America/Los_Angeles
06007,Butte,CA,America/Los_Angeles
06009,Calaveras,CA,America/Los_Angeles
06011,Colusa,CA,America/Los_Angeles
06013,Contra Costa,CA,America/Los_Angeles
06015,Del Norte,CA,America/Los_Angeles
06017,El Dorado,CA,America/Los_Angeles
06019,Fresno,CA,America/Los_Angeles
06021,Glenn,CA,America/Los_Angeles
06023,Humboldt,CA,America/Los_Angeles
06025,Imperial,CA,America/Los_Angeles
06027,Inyo,CA,America/Los_Angeles
06029,Kern,CA,America/Los_Angeles
06031,Kings,CA,America/Los_Angeles
06033,Lake,CA,America/Los_Angeles
06035,Lassen,CA,America/Los_Angeles
06037,Los Angeles,CA,America/Los_Angeles
06039,Madera,CA,America/Los_Angeles
06041,Marin,CA,America/Los_Angeles
06043,Mariposa,CA,America/Los_Angeles
06045,Mendocino,CA,America/Los_Angeles
06047,Merced,CA,America/Los_Angeles
06049,Modoc,CA,America/Los_Angeles
06051,Mono,CA,America/Los_Angeles
06053,Monterey,CA,America/Los_Angeles
06055,Napa,CA,America/Los_Angeles
06057,Nevada,CA,America/Los_Angeles
06059,Orange,CA,America/Los_Angeles
06061,Placer,CA,America/Los_Angeles
06063,Plumas,CA,America/Los_Angeles
06065,Riverside,CA,America/Los_Angeles
06067,Sacramento,CA,America/Los_Angeles
