id,commercial_subsectors,industrial_subsectors,residential_subsectors,transportation_subsectors
unspecified,x,,x,
bev_compact,,,,x
bev_midsize,,,,x
bev_pickup,,,,x
bev_suv,,,,x
phev_compact,,,,x
phev_midsize,,,,x
phev_pickup,,,,x
phev_suv,,,,x
bev_light-medium_freight_truck,,,,x
bev_medium_freight_truck,,,,x
bev_vocational_truck,,,,x
bev_heavy_freight_truck,,,,x
bev_bus,,,,x
rail_transit,,,,x
cement_concrete,,x,,
chemical,,x,,
construction,,x,,
datacenter,x,,,
food_bev,,x,,
iron_steel,,x,,
mining,,x,,
other,,x,,
pesticides_fertilizer,,x,,
pet_refinery,,x,,
pulp_paper,,x,,
water_treatment,x,,,
